n,lang,test,time
65000,java,testDiv,0.000823
65000,js,testDiv,1.381594
65000,php,testDiv,0.0016860961914062
65000,py,testDiv,0.0028853416442871094
65000,c,testMinus,0.000083
65000,java,testMinus,0.000444
65000,js,testMinus,0.003892
65000,php,testMinus,0.0015959739685059
65000,py,testMinus,0.0061604976654052734
65000,c,testProd,0.000077
65000,java,testProd,0.000501
65000,js,testProd,1.517261
65000,php,testProd,0.0016889572143555
65000,py,testProd,0.003424406051635742
65000,c,testSum,0.000060
65000,java,testSum,0.000449
65000,js,testSum,1.496407
65000,php,testSum,0.0015270709991455
65000,py,testSum,0.0028967857360839844
70000,c,testCmp,0.000077
70000,java,testCmp,0.001259
70000,js,testCmp,1.155608
70000,php,testCmp,0.0016868114471436
70000,py,testCmp,0.003283262252807617
70000,c,testDiv,0.000077
70000,java,testDiv,0.000598
70000,js,testDiv,1.6478
70000,php,testDiv,0.0019049644470215
70000,py,testDiv,0.003421306610107422
70000,c,testMinus,0.000089
70000,java,testMinus,0.000532
70000,js,testMinus,0.003859
70000,php,testMinus,0.0016119480133057
70000,py,testMinus,0.0034372806549072266
70000,c,testProd,0.000073
70000,java,testProd,0.000679
70000,js,testProd,1.497084
70000,php,testProd,0.0016481876373291
70000,py,testProd,0.0031545162200927734
70000,c,testSum,0.000072
70000,java,testSum,0.000498
70000,js,testSum,1.463799
70000,php,testSum,0.002068042755127
70000,py,testSum,0.0031278133392333984
75000,c,testCmp,0.000088
75000,java,testCmp,0.001145
75000,js,testCmp,1.616188
75000,php,testCmp,0.0021340847015381
75000,py,testCmp,0.0037775039672851562
75000,c,testDiv,0.000088
75000,java,testDiv,0.000990
75000,js,testDiv,1.543951
75000,php,testDiv,0.0019240379333496
75000,py,testDiv,0.003554105758666992
75000,c,testMinus,0.000085
75000,java,testMinus,0.001046
75000,js,testMinus,0.004022
75000,php,testMinus,0.0016870498657227
75000,py,testMinus,0.0047338008880615234
75000,c,testProd,0.000082
75000,java,testProd,0.000741
75000,js,testProd,1.46363
75000,php,testProd,0.0020430088043213
75000,py,testProd,0.0036094188690185547
75000,c,testSum,0.000085
75000,java,testSum,0.000626
75000,js,testSum,1.611118
75000,php,testSum,0.0016770362854004
75000,py,testSum,0.0036208629608154297
80000,c,testCmp,0.000093
80000,java,testCmp,0.002022
80000,js,testCmp,1.531767
80000,php,testCmp,0.0023808479309082
80000,py,testCmp,0.003738880157470703
80000,c,testDiv,0.000088
80000,java,testDiv,0.000944
80000,js,testDiv,1.803207
80000,php,testDiv,0.0022900104522705
