n,lang,test,time
95000,php,testCat,0.0044538974761963
95000,py,testCat,0.007192850112915039
95000,c,testCmp,0.000229
95000,java,testCmp,0.003195
95000,js,testCmp,2.066411
95000,php,testCmp,0.0028510093688965
95000,py,testCmp,0.003867626190185547
95000,c,testCpy,0.000913
95000,java,testCpy,0.000303
95000,js,testCpy,1.522335
95000,php,testCpy,0.0035629272460938
95000,py,testCpy,0.0014295578002929688
95000,c,testLen,0.000372
95000,java,testLen,0.002175
95000,js,testLen,1.419078
95000,php,testLen,0.004054069519043
95000,py,testLen,0.004490375518798828
100000,c,testCat,0.000736
100000,java,testCat,0.044883
100000,js,testCat,2.91625
100000,php,testCat,0.0044331550598145
100000,py,testCat,0.007555723190307617
100000,c,testCmp,0.000235
100000,java,testCmp,0.003470
100000,js,testCmp,1.886251
100000,php,testCmp,0.0030851364135742
100000,py,testCmp,0.004076480865478516
100000,c,testCpy,0.001128
100000,java,testCpy,0.000333
100000,js,testCpy,2.106512
100000,php,testCpy,0.0046451091766357
100000,py,testCpy,0.0014374256134033203
100000,c,testLen,0.000392
100000,java,testLen,0.002103
100000,js,testLen,1.553346
100000,php,testLen,0.0041229724884033
100000,py,testLen,0.003839254379272461
10000,c,testCat,0.000070
10000,java,testCat,0.036039
10000,js,testCat,0.438552
10000,php,testCat,0.00035691261291504
10000,py,testCat,0.0006482601165771484
10000,c,testCmp,0.000024
10000,java,testCmp,0.001046
10000,js,testCmp,0.27794
10000,php,testCmp,0.00028085708618164
10000,py,testCmp,0.00039458274841308594
10000,c,testCpy,0.000119
10000,java,testCpy,0.000480
10000,js,testCpy,0.354733
10000,php,testCpy,0.00038790702819824
10000,py,testCpy,0.0001506805419921875
10000,c,testLen,0.000035
10000,java,testLen,0.001033
10000,js,testLen,0.345538
10000,php,testLen,0.00042200088500977
10000,py,testLen,0.0003802776336669922
15000,c,testCat,0.000105
15000,java,testCat,0.037565
15000,js,testCat,0.637907
15000,php,testCat,0.00071120262145996
15000,py,testCat,0.0010614395141601562
15000,c,testCmp,0.000036
15000,java,testCmp,0.001099
15000,js,testCmp,0.415896
15000,php,testCmp,0.00041294097900391
15000,py,testCmp,0.0005953311920166016
15000,c,testCpy,0.000191
15000,java,testCpy,0.000517
15000,js,testCpy,0.359303
15000,php,testCpy,0.00060105323791504
15000,py,testCpy,0.00019073486328125
15000,c,testLen,0.000048
15000,java,testLen,0.001250
15000,js,testLen,0.384184
15000,php,testLen,0.00078296661376953
15000,py,testLen,0.0006475448608398438
20000,c,testCat,0.000132
20000,java,testCat,0.041449
20000,js,testCat,0.70403
20000,php,testCat,0.00076913833618164
20000,py,testCat,0.001253366470336914
20000,c,testCmp,0.000043
20000,java,testCmp,0.001635
20000,js,testCmp,0.432114
20000,php,testCmp,0.00051999092102051
20000,py,testCmp,0.0007483959197998047
20000,c,testCpy,0.000164
20000,java,testCpy,0.000591
20000,js,testCpy,0.44735
20000,php,testCpy,0.00072789192199707
20000,py,testCpy,0.0004966259002685547
20000,c,testLen,0.000072
20000,java,testLen,0.001020
20000,js,testLen,0.50977
20000,php,testLen,0.00086808204650879
20000,py,testLen,0.0007295608520507812
25000,c,testCat,0.000444
